Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	time_ISO8601	QF	latitude [degrees_north]	QF	longitude [degrees_east]	QF	mwd [Degree true]	QF	pp1d [s]	QF	swh [m]	QF	QV:ODV:SAMPLE
wave_2005-2008.nc	1	C	2005-01-01T00:00:00	112.00000	-6.50000	2005-01-01T00:00:00	1	-6.5	1	112	1	295.016	1	5.345	1	0.479	1	1
						2005-01-01T01:00:00	1	-6.5	1	112	1	294.121	1	5.344	1	0.472	1	1
						2005-01-01T02:00:00	1	-6.5	1	112	1	291.666	1	5.342	1	0.47	1	1
						2005-01-01T03:00:00	1	-6.5	1	112	1	289.552	1	5.339	1	0.467	1	1
						2005-01-01T04:00:00	1	-6.5	1	112	1	288.058	1	5.335	1	0.461	1	1
						2005-01-01T05:00:00	1	-6.5	1	112	1	288.492	1	5.329	1	0.449	1	1
						2005-01-01T06:00:00	1	-6.5	1	112	1	289.519	1	5.324	1	0.437	1	1
						2005-01-01T07:00:00	1	-6.5	1	112	1	290.694	1	5.318	1	0.428	1	1
						2005-01-01T08:00:00	1	-6.5	1	112	1	291.985	1	5.312	1	0.423	1	1
						2005-01-01T09:00:00	1	-6.5	1	112	1	293.704	1	5.308	1	0.423	1	1
						2005-01-01T10:00:00	1	-6.5	1	112	1	292.495	1	5.303	1	0.449	1	1
						2005-01-01T11:00:00	1	-6.5	1	112	1	289.371	1	5.304	1	0.46	1	1
						2005-01-01T12:00:00	1	-6.5	1	112	1	287.811	1	5.306	1	0.458	1	1
						2005-01-01T13:00:00	1	-6.5	1	112	1	288.305	1	5.309	1	0.447	1	1
						2005-01-01T14:00:00	1	-6.5	1	112	1	289.244	1	5.314	1	0.439	1	1
						2005-01-01T15:00:00	1	-6.5	1	112	1	289.146	1	5.321	1	0.44	1	1
						2005-01-01T16:00:00	1	-6.5	1	112	1	287.597	1	5.328	1	0.453	1	1
						2005-01-01T17:00:00	1	-6.5	1	112	1	286.147	1	5.339	1	0.465	1	1
						2005-01-01T18:00:00	1	-6.5	1	112	1	285.329	1	5.354	1	0.474	1	1
						2005-01-01T19:00:00	1	-6.5	1	112	1	284.286	1	5.377	1	0.484	1	1
