//<Encoding>UTF-8</Encoding>
//<Version>ODV Spreadsheet V4.6.4</Version>
//<Creator>Soleram@DESKTOP-5OD3PEK</Creator>
//<CreateTime>2021-09-04T17:08:59</CreateTime>
//<Software>Ocean Data View 5.4.0 - 64 bit (Windows)</Software>
//<Source>D:/Works/02 Proyek Mungil/Data wave/wave_2013-2016.nc</Source>
//<SourceLastModified>2021-09-04T17:04:05</SourceLastModified>
//<DataField>GeneralField</DataField>
//<DataType>TimeSeries</DataType>
//<Description></Description>
//
//<MetaVariable>label="Cruise" var_type="METACRUISE" value_type="TEXT:81" qf_schema="ODV" significant_digits="0" comment=""</MetaVariable>
//<MetaVariable>label="Station" var_type="METASTATION" value_type="TEXT:21" qf_schema="ODV" significant_digits="0" comment=""</MetaVariable>
//<MetaVariable>label="Type" var_type="METATYPE" value_type="TEXT:2" qf_schema="ODV" significant_digits="0" comment=""</MetaVariable>
//<MetaVariable>label="Longitude [degrees_east]" var_type="METALONGITUDE" value_type="FLOAT" qf_schema="ODV" significant_digits="3" comment=""</MetaVariable>
//<MetaVariable>label="Latitude [degrees_north]" var_type="METALATITUDE" value_type="FLOAT" qf_schema="ODV" significant_digits="3" comment=""</MetaVariable>
//
//<DataVariable>label="time_ISO8601" value_type="DOUBLE" qf_schema="ODV" significant_digits="0" is_primary_variable="T" comment="time" key_variable=""</DataVariable>
//<DataVariable>label="latitude [degrees_north]" value_type="DOUBLE" qf_schema="ODV" significant_digits="2" is_primary_variable="F" comment="latitude" key_variable=""</DataVariable>
//<DataVariable>label="longitude [degrees_east]" value_type="DOUBLE" qf_schema="ODV" significant_digits="2" is_primary_variable="F" comment="longitude" key_variable=""</DataVariable>
//<DataVariable>label="mwd [Degree true]" value_type="DOUBLE" qf_schema="ODV" significant_digits="0" is_primary_variable="F" comment="Mean wave direction" key_variable=""</DataVariable>
//<DataVariable>label="pp1d [s]" value_type="DOUBLE" qf_schema="ODV" significant_digits="0" is_primary_variable="F" comment="Peak wave period" key_variable=""</DataVariable>
//<DataVariable>label="swh [m]" value_type="DOUBLE" qf_schema="ODV" significant_digits="0" is_primary_variable="F" comment="Significant height of combined wind waves and swell" key_variable=""</DataVariable>
//
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	time_ISO8601	QF	latitude [degrees_north]	QF	longitude [degrees_east]	QF	mwd [Degree true]	QF	pp1d [s]	QF	swh [m]	QF	QV:ODV:SAMPLE
wave_2013-2016.nc	1	C	2013-01-01T00:00:00	112.00000	-6.50000	2013-01-01T00:00:00	1	-6.5	1	112	1	294.847	1	5.487	1	0.661	1	1
						2013-01-01T01:00:00	1	-6.5	1	112	1	294.172	1	5.472	1	0.647	1	1
						2013-01-01T02:00:00	1	-6.5	1	112	1	294.864	1	5.447	1	0.623	1	1
						2013-01-01T03:00:00	1	-6.5	1	112	1	296.319	1	5.414	1	0.595	1	1
						2013-01-01T04:00:00	1	-6.5	1	112	1	297.989	1	5.379	1	0.57	1	1
						2013-01-01T05:00:00	1	-6.5	1	112	1	300.45	1	5.343	1	0.559	1	1
						2013-01-01T06:00:00	1	-6.5	1	112	1	303.553	1	5.307	1	0.561	1	1
						2013-01-01T07:00:00	1	-6.5	1	112	1	307.595	1	5.268	1	0.58	1	1
						2013-01-01T08:00:00	1	-6.5	1	112	1	309.452	1	5.219	1	0.614	1	1
						2013-01-01T09:00:00	1	-6.5	1	112	1	309.473	1	5.132	1	0.655	1	1
						2013-01-01T10:00:00	1	-6.5	1	112	1	307.782	1	3.691	1	0.695	1	1
						2013-01-01T11:00:00	1	-6.5	1	112	1	306.222	1	3.949	1	0.727	1	1
						2013-01-01T12:00:00	1	-6.5	1	112	1	304.157	1	4.125	1	0.724	1	1
						2013-01-01T13:00:00	1	-6.5	1	112	1	302.932	1	4.285	1	0.694	1	1
						2013-01-01T14:00:00	1	-6.5	1	112	1	302.443	1	4.354	1	0.664	1	1
						2013-01-01T15:00:00	1	-6.5	1	112	1	302.526	1	4.386	1	0.636	1	1
						2013-01-01T16:00:00	1	-6.5	1	112	1	303.619	1	4.403	1	0.604	1	1
						2013-01-01T17:00:00	1	-6.5	1	112	1	305.222	1	4.412	1	0.572	1	1
						2013-01-01T18:00:00	1	-6.5	1	112	1	306.348	1	4.414	1	0.548	1	1
						2013-01-01T19:00:00	1	-6.5	1	112	1	306.711	1	4.41	1	0.535	1	1
						2013-01-01T20:00:00	1	-6.5	1	112	1	305.766	1	4.398	1	0.535	1	1
						2013-01-01T21:00:00	1	-6.5	1	112	1	305.321	1	4.384	1	0.529	1	1
						2013-01-01T22:00:00	1	-6.5	1	112	1	301.12	1	4.369	1	0.53	1	1
						2013-01-01T23:00:00	1	-6.5	1	112	1	298.28	1	4.348	1	0.541	1	1
						2013-01-02T00:00:00	1	-6.5	1	112	1	295.66	1	4.314	1	0.559	1	1
						2013-01-02T01:00:00	1	-6.5	1	112	1	295.792	1	4.283	1	0.565	1	1
						2013-01-02T02:00:00	1	-6.5	1	112	1	295.572	1	4.268	1	0.575	1	1
						2013-01-02T03:00:00	1	-6.5	1	112	1	295.166	1	4.257	1	0.597	1	1
						2013-01-02T04:00:00	1	-6.5	1	112	1	296.177	1	4.26	1	0.62	1	1
						2013-01-02T05:00:00	1	-6.5	1	112	1	297.967	1	4.258	1	0.661	1	1
						2013-01-02T06:00:00	1	-6.5	1	112	1	300.054	1	4.27	1	0.713	1	1
						2013-01-02T07:00:00	1	-6.5	1	112	1	301.927	1	4.314	1	0.763	1	1
						2013-01-02T08:00:00	1	-6.5	1	112	1	303.113	1	4.376	1	0.806	1	1
						2013-01-02T09:00:00	1	-6.5	1	112	1	302.009	1	4.451	1	0.859	1	1
						2013-01-02T10:00:00	1	-6.5	1	112	1	299.488	1	4.559	1	0.926	1	1
						2013-01-02T11:00:00	1	-6.5	1	112	1	297.632	1	4.658	1	0.967	1	1
						2013-01-02T12:00:00	1	-6.5	1	112	1	297.143	1	4.728	1	0.969	1	1
						2013-01-02T13:00:00	1	-6.5	1	112	1	297.143	1	4.771	1	0.961	1	1
						2013-01-02T14:00:00	1	-6.5	1	112	1	296.764	1	4.802	1	0.959	1	1
						2013-01-02T15:00:00	1	-6.5	1	112	1	295.336	1	4.835	1	0.951	1	1
						2013-01-02T16:00:00	1	-6.5	1	112	1	293.721	1	4.894	1	0.923	1	1
						2013-01-02T17:00:00	1	-6.5	1	112	1	293.172	1	4.98	1	0.88	1	1
						2013-01-02T18:00:00	1	-6.5	1	112	1	293.721	1	5.06	1	0.834	1	1
						2013-01-02T19:00:00	1	-6.5	1	112	1	294.024	1	5.109	1	0.799	1	1
						2013-01-02T20:00:00	1	-6.5	1	112	1	294.177	1	5.139	1	0.769	1	1
						2013-01-02T21:00:00	1	-6.5	1	112	1	294.463	1	5.158	1	0.741	1	1
						2013-01-02T22:00:00	1	-6.5	1	112	1	293.491	1	5.166	1	0.725	1	1
						2013-01-02T23:00:00	1	-6.5	1	112	1	291.876	1	5.165	1	0.713	1	1
						2013-01-03T00:00:00	1	-6.5	1	112	1	291.503	1	5.157	1	0.689	1	1
						2013-01-03T01:00:00	1	-6.5	1	112	1	293.117	1	5.144	1	0.652	1	1
						2013-01-03T02:00:00	1	-6.5	1	112	1	295.545	1	5.13	1	0.615	1	1
						2013-01-03T03:00:00	1	-6.5	1	112	1	297.824	1	5.115	1	0.583	1	1
						2013-01-03T04:00:00	1	-6.5	1	112	1	299.736	1	5.097	1	0.556	1	1
						2013-01-03T05:00:00	1	-6.5	1	112	1	301.015	1	5.078	1	0.536	1	1
						2013-01-03T06:00:00	1	-6.5	1	112	1	301.971	1	5.056	1	0.519	1	1
						2013-01-03T07:00:00	1	-6.5	1	112	1	302.531	1	5.031	1	0.506	1	1
						2013-01-03T08:00:00	1	-6.5	1	112	1	302.998	1	5.	1	0.497	1	1
						2013-01-03T09:00:00	1	-6.5	1	112	1	302.394	1	4.962	1	0.496	1	1
						2013-01-03T10:00:00	1	-6.5	1	112	1	302.07	1	4.91	1	0.502	1	1
						2013-01-03T11:00:00	1	-6.5	1	112	1	300.938	1	4.866	1	0.507	1	1
						2013-01-03T12:00:00	1	-6.5	1	112	1	301.394	1	4.822	1	0.501	1	1
						2013-01-03T13:00:00	1	-6.5	1	112	1	301.164	1	4.784	1	0.504	1	1
						2013-01-03T14:00:00	1	-6.5	1	112	1	299.384	1	4.75	1	0.517	1	1
						2013-01-03T15:00:00	1	-6.5	1	112	1	298.533	1	4.719	1	0.524	1	1
						2013-01-03T16:00:00	1	-6.5	1	112	1	299.329	1	4.687	1	0.526	1	1
						2013-01-03T17:00:00	1	-6.5	1	112	1	299.236	1	4.647	1	0.556	1	1
						2013-01-03T18:00:00	1	-6.5	1	112	1	298.522	1	4.568	1	0.608	1	1
						2013-01-03T19:00:00	1	-6.5	1	112	1	298.28	1	4.385	1	0.66	1	1
						2013-01-03T20:00:00	1	-6.5	1	112	1	297.638	1	4.294	1	0.706	1	1
						2013-01-03T21:00:00	1	-6.5	1	112	1	296.967	1	4.314	1	0.723	1	1
						2013-01-03T22:00:00	1	-6.5	1	112	1	295.803	1	4.354	1	0.73	1	1
						2013-01-03T23:00:00	1	-6.5	1	112	1	296.199	1	4.418	1	0.72	1	1
						2013-01-04T00:00:00	1	-6.5	1	112	1	296.792	1	4.487	1	0.712	1	1
						2013-01-04T01:00:00	1	-6.5	1	112	1	297.484	1	4.55	1	0.713	1	1
						2013-01-04T02:00:00	1	-6.5	1	112	1	298.445	1	4.62	1	0.705	1	1
